WORKING_HOUR,NET,AUTORUN_EDITS,EXISTS_IN_AUTORUN,CRYPT_DLLS_LOADED,FILES_WRITTEN,AVG_WRITTEN_ENTROPY,ELEVATED,AVG_WRITES_FILES,QUERY_DIRECTORY,KILL_DEFENSE,DELETE_BACKUP
0,0,0,0,0,0,4,1,0,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0
0,0,1,1,0,0,4,1,0,153,0,0
0,1000245,1,1,0,0,4,1,0,179,0,0
0,145450557,1,1,0,0,4,1,0,0,0,0
0,208987358,1,1,0,0,4,1,0,0,0,0
0,237064229,1,1,0,0,4,1,0,0,0,0
0,48859892,1,1,0,0,4,1,0,0,0,0
0,685421669,1,1,0,0,4,1,0,0,0,0
0,242210709,1,1,0,15,7.944490265,1,1,0,0,0
0,0,1,1,0,97,7.975027067,1,3.990654206,0,0,0
0,0,1,1,0,34,7.998304199,1,4.75,0,0,0
0,0,1,1,0,22,7.999991548,1,22.5,0,0,0
0,0,1,1,0,12,7.999972987,1,1.916666667,0,0,0
0,0,1,1,0,18,7.999933304,1,39.25,0,0,0
0,0,1,1,0,24,7.999943356,1,1,0,0,0
0,0,1,1,0,48,7.999802496,1,1,0,0,0
0,0,1,1,0,38,7.999841003,1,1,0,0,0
0,0,1,1,0,32,7.999848166,1,1,0,0,0
0,0,1,1,0,45,7.999747076,1,1,0,0,0
0,0,1,1,0,14,7.999716505,1,1,0,0,0
0,0,1,1,0,0,4,1,0,0,0,0
0,0,1,1,0,11,7.999999706,1,1,0,0,0
0,0,1,1,0,21,7.999999706,1,20.88,0,0,0
0,0,1,1,0,26,7.999328508,1,24.5,0,0,0
0,0,1,1,0,29,7.996447043,1,9.896551724,0,0,0
0,0,1,1,0,30,7.925344164,1,1.466666667,0,0,1
0,0,1,1,0,0,4,1,0,0,0,1
